0,0,0,0
1.895,4.259,-0.341,2.159
2.699,6.21,-0.622,2.959
4.402,7.883,-0.804,3.38
5.815,10.786,-0.964,3.597
9.469,15.121,-1.118,4.009
13.2,19.839,-1.298,4.364
16.569,24.395,-1.505,4.828
21.099,28.898,-1.788,5.785
26.596,32.779,-2.183,7.678
30.808,37.339,-2.64,9.963
35.171,41.658,-3.009,10.757
39.231,44.808,-3.494,11.274
42.957,47.054,-4.296,11.731
45.453,48.511,-5.237,12.017
47.282,48.79,-5.815,12.202
48.5,48.531,-6.151,12.396
49.202,47.278,-6.288,12.926
49.869,44.572,-6.426,13.548
50.15,41.47,-6.576,14.538
50.073,38.453,-6.748,15.609
49.538,34.677,-6.855,16.059
48.318,29.758,-6.898,16.5
47.154,25.183,-6.983,16.911
45.538,19.919,-7.03,17.292
42.148,15.887,-7.03,17.499
38.8,11.855,-7.053,17.607
35.931,8.493,-7.089,17.731
33.231,6.143,-7.095,18.044
30.545,4.688,-7.095,18.447
30.4,4.432,-7.034,19.875
30.639,6.435,-6.925,21.665
30.879,9.162,-6.816,24.068
31.118,11.642,-6.707,27.264
31.357,13.841,-6.408,29.655
31.289,15.043,-5.61,31.822
31.089,16.244,-4.812,34.526
30.804,17.446,-4.015,38.08
29.906,18.648,-2.993,41.557
29.081,19.555,-1.647,44.293
28.363,20.156,-0.301,47.898
27.584,20.757,1.046,52.193
26.627,20.635,2.711,54.827
25.628,20.463,4.386,56.68
24.282,20.291,5.914,60.498
22.936,19.773,7.453,62.42
21.59,19.239,9.367,64.312
20.229,18.705,11.282,65.514
18.862,18.085,13.082,66.511
17.494,16.884,15.111,67.112
16.239,15.682,17.903,66.869
15.043,14.776,18.999,66.148
13.846,14.089,19.996,65.182
12.39,13.403,21.242,63.98
10.794,12.946,22.917,62.293
9.239,12.646,24.414,60.362
8.192,12.345,25.269,57.358
7.144,12.069,26.123,54.597
6.097,11.898,26.978,52.116
5.335,11.726,27.833,49.112
4.737,11.623,28.688,46.108
4.138,11.773,29.474,42.759
3.54,11.923,29.987,39.733
2.942,12.074,30.5,36.303
2.343,12.102,30.947,31.739
1.745,12.102,31.118,27.827
0.92,12.102,31.289,24.733
0.023,12.245,31.397,21.358
-0.875,12.416,31.226,18.545
-1.724,12.588,31.055,15.234
-2.472,12.76,30.879,12.23
-3.22,12.931,30.68,8.753
-3.968,13.103,30.481,5.898
-4.509,13.474,30.281,4.151
-5.022,13.875,30.082,2.949
-5.535,14.301,29.876,2.514
-5.948,14.782,29.277,2.114
-6.347,15.458,28.857,2.118
-6.746,16.96,29.1,2.719
-7.142,18.433,29.6,3.32
-7.034,19.875,30.4,4.432
-6.925,21.665,30.639,6.435
-6.816,24.068,30.879,9.162
-6.707,27.264,31.118,11.642
-6.408,29.655,31.357,13.841
-5.61,31.822,31.289,15.043
-4.812,34.526,31.089,16.244
-4.015,38.08,30.804,17.446
-2.993,41.557,29.906,18.648
-1.647,44.293,29.081,19.555
-0.301,47.898,28.363,20.156
1.046,52.193,27.584,20.757
2.711,54.827,26.627,20.635
4.386,56.68,25.628,20.463
5.914,60.498,24.282,20.291
7.453,62.42,22.936,19.773
9.367,64.312,21.59,19.239
11.282,65.514,20.229,18.705
13.082,66.511,18.862,18.085
15.111,67.112,17.494,16.884
17.903,66.869,16.239,15.682
18.999,66.148,15.043,14.776
19.996,65.182,13.846,14.089
21.242,63.98,12.39,13.403
22.917,62.293,10.794,12.946
24.414,60.362,9.239,12.646
25.269,57.358,8.192,12.345
26.123,54.597,7.144,12.069
26.978,52.116,6.097,11.898
27.833,49.112,5.335,11.726
28.688,46.108,4.737,11.623
29.474,42.759,4.138,11.773
29.987,39.733,3.54,11.923
30.5,36.303,2.942,12.074
30.947,31.739,2.343,12.102
31.118,27.827,1.745,12.102
31.289,24.733,0.92,12.102
31.397,21.358,0.023,12.245
31.226,18.545,-0.875,12.416
31.055,15.234,-1.724,12.588
30.879,12.23,-2.472,12.76
30.68,8.753,-3.22,12.931
30.481,5.898,-3.968,13.103
30.281,4.151,-4.509,13.474
30.082,2.949,-5.022,13.875
29.876,2.514,-5.535,14.301
29.277,2.114,-5.948,14.782
28.857,2.118,-6.347,15.458
29.1,2.719,-6.746,16.96
29.6,3.32,-7.142,18.433
30.4,4.432,-7.034,19.875
30.639,6.435,-6.925,21.665
30.879,9.162,-6.816,24.068
31.118,11.642,-6.707,27.264
31.357,13.841,-6.408,29.655
31.289,15.043,-5.61,31.822
31.089,16.244,-4.812,34.526
30.804,17.446,-4.015,38.08
29.906,18.648,-2.993,41.557
29.081,19.555,-1.647,44.293
28.363,20.156,-0.301,47.898
27.584,20.757,1.046,52.193
26.627,20.635,2.711,54.827
25.628,20.463,4.386,56.68
24.282,20.291,5.914,60.498
22.936,19.773,7.453,62.42
21.59,19.239,9.367,64.312
20.229,18.705,11.282,65.514
18.862,18.085,13.082,66.511
17.494,16.884,15.111,67.112
16.239,15.682,17.903,66.869
15.043,14.776,18.999,66.148
13.846,14.089,19.996,65.182
12.39,13.403,21.242,63.98
10.794,12.946,22.917,62.293
9.239,12.646,24.414,60.362
8.192,12.345,25.269,57.358
7.144,12.069,26.123,54.597
6.097,11.898,26.978,52.116
5.335,11.726,27.833,49.112
4.737,11.623,28.688,46.108
4.138,11.773,29.474,42.759
3.54,11.923,29.987,39.733
2.942,12.074,30.5,36.303
2.343,12.102,30.947,31.739
1.745,12.102,31.118,27.827
0.92,12.102,31.289,24.733
0.023,12.245,31.397,21.358
-0.875,12.416,31.226,18.545
-1.724,12.588,31.055,15.234
-2.472,12.76,30.879,12.23
-3.22,12.931,30.68,8.753
-3.968,13.103,30.481,5.898
-4.509,13.474,30.281,4.151
-5.022,13.875,30.082,2.949
-5.535,14.301,29.876,2.514
-5.948,14.782,29.277,2.114
-6.347,15.458,28.857,2.118
-6.746,16.96,29.1,2.719
-7.142,18.433,29.6,3.32
-7.034,19.875,30.4,4.432
-6.925,21.665,30.639,6.435
-6.816,24.068,30.879,9.162
-6.707,27.264,31.118,11.642
-6.408,29.655,31.357,13.841
-5.61,31.822,31.289,15.043
-4.812,34.526,31.089,16.244
-4.015,38.08,30.804,17.446
-2.993,41.557,29.906,18.648
-1.647,44.293,29.081,19.555
-0.301,47.898,28.363,20.156
1.046,52.193,27.584,20.757
2.711,54.827,26.627,20.635
4.386,56.68,25.628,20.463
5.914,60.498,24.282,20.291
7.453,62.42,22.936,19.773
9.367,64.312,21.59,19.239
11.282,65.514,20.229,18.705
13.082,66.511,18.862,18.085
15.111,67.112,17.494,16.884
17.903,66.869,16.239,15.682
18.999,66.148,15.043,14.776
19.996,65.182,13.846,14.089
21.242,63.98,12.39,13.403
22.917,62.293,10.794,12.946
24.414,60.362,9.239,12.646
25.269,57.358,8.192,12.345
26.123,54.597,7.144,12.069
26.978,52.116,6.097,11.898
27.833,49.112,5.335,11.726
28.688,46.108,4.737,11.623
29.474,42.759,4.138,11.773
29.987,39.733,3.54,11.923
30.5,36.303,2.942,12.074
30.947,31.739,2.343,12.102
31.118,27.827,1.745,12.102
31.289,24.733,0.92,12.102
31.397,21.358,0.023,12.245
31.226,18.545,-0.875,12.416
31.055,15.234,-1.724,12.588
30.879,12.23,-2.472,12.76
30.68,8.753,-3.22,12.931
30.481,5.898,-3.968,13.103
30.281,4.151,-4.509,13.474
30.082,2.949,-5.022,13.875
29.876,2.514,-5.535,14.301
29.277,2.114,-5.948,14.782
28.857,2.118,-6.347,15.458
29.1,2.719,-6.746,16.96
29.6,3.32,-7.142,18.433
28.34,3.172,-6.719,18.56
26.663,2.671,-5.487,23.13
22.957,3.039,-4.492,28.703
19.846,3.927,-3.428,36.532
18.83,4.164,-2.075,42.789
18.463,4.324,-0.311,47.606
17.539,4.536,1.696,51.723
16.746,4.659,3.302,55.739
16.315,4.671,5.531,58.102
16.711,4.57,6.754,58.556
16.604,4.489,7.812,57.796
16.277,4.441,8.882,56.074
15.638,4.466,9.638,53.411
15.638,4.354,10.374,49.517
15.638,4.246,11.344,46.247
14.852,4.158,12.009,42.016
14.362,4.042,12.529,34.545
13.93,3.883,12.581,30.824
13.034,3.724,12.581,26.767
12.436,3.611,11.843,22.399
11.457,3.496,11.058,18.737
11.17,3.372,10.273,15.051
10.946,3.282,9.447,11.315
9.646,3.163,8.343,8.576
7.89,3.034,7.196,5.831
5.848,2.895,5.463,3.208
3.449,2.699,3.358,2.904
1.658,2.047,1.905,1.821
1.596,1.192,0.755,1.29
0,0,0,0
0,0,0,0
0,0,0,0
